Lat,Lng,Hub_ID
-28.014903525122584,-51.45015473083712,1
-22.90154918759534,-47.53333352214985,2
-8.445521492140314,-54.38915958864658,3
-8.525611316304758,-38.580230039358064,4
-20.784702719838652,-43.51223101461835,5
