ds,y,y_smooth
2017-02-12,16682.29,13057.442857142858
2017-02-13,13092.09,13266.884285714286
2017-02-14,15309.08,13078.58
2017-02-15,8326.4,12225.212857142857
2017-02-16,7803.72,11790.862857142856
2017-02-17,8093.57,10707.93142857143
2017-02-18,9308.3,11230.778571428573
2017-02-19,4477.65,9487.25857142857
2017-02-20,9157.3,8925.145714285714
2017-02-21,9333.46,8071.485714285714
2017-02-22,9393.369999999999,8223.91
2017-02-23,8571.86,8333.644285714287
2017-02-24,7983.01,8317.85
2017-02-25,5126.18,7720.404285714286
2017-02-26,6583.5,8021.239999999999
2017-02-27,6836.7699999999995,7689.7357142857145
2017-02-28,12582.52,8153.887142857144
2017-03-01,18923.17,9515.287142857142
2017-03-02,13146.36,10168.787142857142
2017-03-03,14154.71,11050.458571428573
2017-03-04,15533.69,12537.245714285715
2017-03-05,8789.14,12852.337142857143
2017-03-06,13515.12,13806.387142857144
2017-03-07,13855.37,13988.222857142857
2017-03-08,16769.66,13680.578571428572
2017-03-09,13828.33,13778.002857142857
2017-03-10,14518.92,13830.032857142856
2017-03-11,12503.97,13397.215714285714
2017-03-12,7853.18,13263.507142857141
2017-03-13,19306.06,14090.784285714284
2017-03-14,16542.98,14474.728571428572
2017-03-15,17364.91,14559.764285714287
2017-03-16,16653.72,14963.391428571427
2017-03-17,13611.28,14833.728571428572
2017-03-18,17943.07,15610.742857142857
2017-03-19,7728.08,15592.871428571429
2017-03-20,20014.93,15694.138571428572
2017-03-21,14937.51,15464.785714285714
2017-03-22,16390.14,15325.532857142856
2017-03-23,22913.37,16219.768571428573
2017-03-24,13386.91,16187.715714285714
2017-03-25,11251.74,15231.81142857143
2017-03-26,7642.02,15219.517142857143
2017-03-27,20549.29,15295.854285714287
2017-03-28,14838.58,15281.721428571429
2017-03-29,10209.11,14398.717142857144
2017-03-30,11435.0,12758.95
2017-03-31,13753.279999999999,12811.288571428571
2017-04-01,20574.68,14143.137142857142
2017-04-02,10608.62,14566.937142857145
2017-04-03,10776.9,13170.881428571429
2017-04-04,14152.99,13072.94
2017-04-05,20774.55,14582.28857142857
2017-04-06,26863.579999999998,16786.371428571427
2017-04-07,15043.72,16970.719999999998
2017-04-08,10290.74,15501.585714285713
2017-04-09,9689.41,15370.269999999999
2017-04-10,13492.1,15758.155714285715
2017-04-11,9878.09,15147.455714285712
2017-04-12,9407.94,13523.654285714283
2017-04-13,11216.11,11288.301428571429
2017-04-14,10515.9,10641.470000000001
2017-04-15,9391.56,10513.015714285715
2017-04-16,6532.21,10061.987142857144
2017-04-17,10765.57,9672.482857142857
2017-04-18,23433.86,11609.021428571428
2017-04-19,13941.25,12256.637142857142
2017-04-20,16056.0,12948.05
2017-04-21,10162.6,12897.578571428572
2017-04-22,15005.06,13699.507142857143
2017-04-23,11839.91,14457.75
2017-04-24,17711.57,15450.035714285714
2017-04-25,17176.35,14556.105714285715
2017-04-26,18696.09,15235.368571428571
2017-04-27,12455.1,14720.954285714286
2017-04-28,18063.29,15849.624285714284
2017-04-29,13835.28,15682.512857142856
2017-04-30,9437.0,15339.24
2017-05-01,14869.67,14933.254285714285
2017-05-02,20673.079999999998,15432.787142857142
2017-05-03,12192.34,14503.679999999998
2017-05-04,15901.72,14996.054285714285
2017-05-05,16584.579999999998,14784.81
2017-05-06,19227.55,15555.134285714286
2017-05-07,20467.98,17130.98857142857
2017-05-08,19194.68,17748.847142857143
2017-05-09,24245.05,18259.12857142857
2017-05-10,23418.4,19862.851428571426
2017-05-11,21204.04,20620.325714285715
2017-05-12,15314.460000000001,20438.88
2017-05-13,10675.67,19217.182857142856
2017-05-14,17551.83,18800.59
2017-05-15,21907.01,19188.065714285716
2017-05-16,24535.57,19229.568571428572
2017-05-17,21396.33,18940.70142857143
2017-05-18,20861.79,18891.808571428573
2017-05-19,21525.09,19779.04142857143
2017-05-20,12364.17,20020.255714285715
2017-05-21,20368.53,20422.641428571427
2017-05-22,28906.6,21422.58285714286
2017-05-23,20622.47,20863.56857142857
2017-05-24,26991.95,21662.942857142858
2017-05-25,18420.66,21314.21
2017-05-26,12680.52,20050.7
2017-05-27,16333.54,20617.752857142856
2017-05-28,11120.710000000001,19296.635714285712
2017-05-29,22225.09,18342.134285714284
2017-05-30,17074.36,17835.26142857143
2017-05-31,24063.38,17416.894285714287
2017-06-01,21781.38,17896.997142857144
2017-06-02,21769.38,19195.405714285713
2017-06-03,12265.44,18614.248571428572
2017-06-04,16029.49,19315.502857142856
2017-06-05,27400.54,20054.852857142858
2017-06-06,17525.09,20119.242857142857
2017-06-07,16072.62,18977.705714285716
2017-06-08,22106.28,19024.12
2017-06-09,18738.53,18591.14142857143
2017-06-10,9892.1,18252.09285714286
2017-06-11,19348.54,18726.242857142857
2017-06-12,17389.2,17296.051428571427
